avg_gdp_pc_diff,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect
-0.0930518096928218,50,20,0,0.0,0.0,0.5
807.2932122357375,50,20,20,0.0,1.0,0.5
-2704.301714824356,50,0,20,5.0,1.0,1.5
7788.200071050302,40,10,10,0.0,5.0,1.5
-4622.480572572441,50,0,20,5.0,0.0,1.5
7677.607627130997,40,0,10,0.0,5.0,1.5
-843.056464515463,65,20,20,5.0,0.0,1.5
1819.388794654699,40,10,0,0.0,1.0,0.5
1269.0244421323976,50,20,10,0.0,1.0,0.0
8205.196685738625,50,20,0,0.0,5.0,0.0
1894.693036009056,50,10,10,0.0,1.0,1.5
7918.333498564977,50,0,10,0.0,5.0,0.0
-1588.6666091027423,65,10,10,5.0,1.0,0.0
1330.7821052505697,65,0,10,0.0,1.0,1.5
8034.413367196959,40,0,0,0.0,5.0,0.0
-786.0582021699381,50,10,10,1.0,0.0,0.0
-1588.6666091027423,65,10,10,5.0,1.0,0.5
-0.0012248172923656,65,20,10,0.0,0.0,0.5
1818.1772848008648,50,0,10,0.0,1.0,0.0
5707.559579644124,65,0,20,1.0,5.0,0.5
-628.9038118895564,40,20,10,1.0,0.0,1.5
3722.882652507514,40,10,20,5.0,5.0,0.5
905.2784936075344,40,10,0,1.0,1.0,0.0
-2424.2312794442696,50,20,10,5.0,0.0,1.5
-0.3521630249701307,50,0,10,0.0,0.0,0.5
7095.733035938399,40,0,20,1.0,5.0,0.0
0.0389396507664406,65,0,0,0.0,0.0,0.5
-2157.330602550944,65,0,20,5.0,1.0,0.5
925.1772286916372,40,10,20,1.0,1.0,0.5
-0.0012248172923656,65,20,0,0.0,0.0,1.5
-3819.853454649196,65,10,0,5.0,0.0,0.0
-3301.9718235132073,50,10,20,5.0,0.0,0.5
-755.0579041274087,40,10,20,1.0,0.0,0.5
7950.49178571616,50,0,0,0.0,5.0,1.5
-3588.9128823039564,65,0,20,5.0,0.0,0.5
1132.7667002303642,50,20,0,1.0,1.0,0.0
1333.2074106299926,65,0,0,0.0,1.0,0.5
-1038.2000750575455,40,0,20,1.0,0.0,0.5
-4398.666466157944,40,10,10,5.0,0.0,0.0
7945.543363393139,40,0,20,0.0,5.0,0.0
-0.0012248172923656,65,10,20,0.0,0.0,1.5
1817.7774440029157,50,0,10,0.0,1.0,0.5
1875.4654303504449,40,10,0,0.0,1.0,0.0
7771.08167122595,40,20,0,0.0,5.0,1.5
813.734605224221,50,0,10,1.0,1.0,0.0
-3316.384209322879,50,0,10,5.0,1.0,0.0
1776.2796238128892,40,20,0,0.0,1.0,1.5
4434.149413311714,65,20,10,0.0,5.0,0.5
70.07286608327662,65,5,5,0.15,0.13,0.0
-705.9540897633082,65,0,20,1.0,0.0,0.5
1925.2944323753889,50,10,0,0.0,1.0,1.5
3222.630231379821,50,20,10,5.0,5.0,1.5
7917.904029366005,50,0,10,0.0,5.0,0.5
-3900.123406267844,40,0,0,5.0,1.0,0.0
-3650.043549419784,40,10,20,5.0,0.0,0.5
6353.207320791431,65,0,0,0.0,5.0,0.5
-1527.0389342940498,50,20,0,5.0,1.0,0.0
1822.5755675613336,50,0,0,0.0,1.0,1.5
6214.230009186336,65,20,0,0.0,5.0,1.5
828.3480959575348,50,20,10,1.0,1.0,1.5
-1483.7120892892667,40,20,10,5.0,1.0,1.5
6389.282229714563,40,10,20,1.0,5.0,0.5
4403.391676060394,40,10,10,5.0,5.0,0.6
3722.818575218866,50,10,20,5.0,5.0,0.5
-2.1257963018433657,50,0,0,0.0,0.0,1.5
3239.6885866684856,65,0,20,5.0,5.0,0.5
7033.067809040738,40,0,20,1.0,5.0,0.5
3635.8316786226474,40,0,20,5.0,5.0,0.0
5310.418699882121,65,10,20,0.0,5.0,1.5
-1916.340785067469,40,10,20,5.0,1.0,0.5
970.5390672982808,50,10,20,1.0,1.0,0.5
-3038.4384757148564,40,10,0,5.0,1.0,0.0
640.2030219692582,65,0,20,1.0,1.0,0.5
-1.0260790099328871,50,10,0,0.0,0.0,1.5
-2935.591643845021,40,0,20,5.0,1.0,0.5
-63.33057939793521,40,20,0,0.0,0.0,1.5
-190.98865257762787,65,20,20,1.0,0.0,1.5
3519.3796420225035,40,10,0,5.0,5.0,0.0
8212.417609282118,40,0,0,0.0,5.0,1.5
0.0391561162347594,65,0,20,0.0,0.0,0.0
6332.803144817939,65,0,10,0.0,5.0,1.5
744.8632595376611,65,10,10,1.0,1.0,0.0
-20.72013265413504,40,20,20,0.0,0.0,0.5
-908.0983039872704,50,0,20,1.0,0.0,1.5
744.8632595376611,65,10,10,1.0,1.0,0.5
7901.9139329663085,40,10,0,0.0,5.0,0.5
-2877.67954589025,40,0,20,5.0,1.0,0.0
8205.099019654559,50,20,0,0.0,5.0,0.5
-0.0012248172923656,65,20,10,0.0,0.0,0.0
3790.9602295925006,50,0,20,5.0,5.0,1.5
-299.6270191937704,65,20,10,1.0,0.0,0.0
-100.56439362301552,40,10,10,0.0,0.0,1.5
-296.023828350609,40,0,10,0.0,0.0,1.5
1965.607085263193,65,20,20,5.0,5.0,1.5
918.0214985792658,50,0,20,1.0,1.0,1.5
855.3383849048876,40,20,20,0.0,1.0,0.5
3281.949166352288,50,0,10,5.0,5.0,0.0
-705.9540897633082,65,0,20,1.0,0.0,0.0
5584.006709208879,40,20,10,0.0,5.0,0.0
2773.8212344434023,40,0,0,5.0,5.0,0.0
2918.234316095574,65,20,20,0.0,5.0,0.0
-5730.2298902121565,50,0,0,5.0,0.0,0.0
1669.5243961816789,40,10,20,0.0,1.0,0.0
1643.9214226996187,40,10,20,0.0,1.0,0.5
-443.08970358954895,65,20,0,1.0,0.0,1.5
757.7398808177151,65,10,20,1.0,1.0,1.5
-3881.53154811535,40,20,0,5.0,0.0,1.5
-898.0370834047319,65,0,0,1.0,0.0,0.5
6214.230009186336,65,20,0,0.0,5.0,0.0
-5732.165242286351,50,0,0,5.0,0.0,1.5
6294.511779376528,65,0,20,0.0,5.0,0.5
6332.803144817939,65,0,10,0.0,5.0,0.0
-1030.5591818881703,50,0,10,1.0,0.0,0.5
-423.03144536208544,40,20,20,1.0,0.0,0.0
6630.160806566064,50,10,20,0.0,5.0,0.5
-299.6270701739607,65,20,10,1.0,0.0,0.5
3723.1364492666935,50,10,20,5.0,5.0,0.0
2367.9014516571256,65,0,0,5.0,5.0,0.5
813.3411396175007,50,0,10,1.0,1.0,0.5
4599.672616979057,65,20,0,5.0,5.0,1.5
