avg_diff,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect
0.0111399113276178,50,10,10,0.0,0.0,0.0
0.0111399113276178,65,0,10,0.0,0.0,1.5
2694.2442720420568,50,0,10,1.0,5.0,0.0
143.93492711718423,40,0,0,0.0,0.0,1.5
1289.1423249872578,65,0,20,5.0,0.0,0.0
2646.970772820751,50,0,20,1.0,5.0,1.5
-0.0533795273781834,50,10,10,0.0,0.0,1.5
970.9877589167191,40,20,20,0.0,5.0,0.5
490.8661886997649,50,20,10,1.0,1.0,0.0
3.0003095337303165,40,10,0,0.0,0.0,0.5
544.55198912435,40,8,8,0.41,0.72,0.0
-0.0279293565849769,50,20,0,0.0,0.0,0.5
215.54458038918156,50,20,20,0.0,1.0,0.5
1992.541661443048,50,0,20,5.0,1.0,1.5
2258.087675639861,40,10,10,0.0,5.0,1.5
1407.974986672659,50,0,20,5.0,0.0,1.5
2353.986476779818,40,0,10,0.0,5.0,1.5
353.72674612976346,65,20,20,5.0,0.0,1.5
542.2615931875498,40,10,0,0.0,1.0,0.5
356.4129294760498,50,20,10,0.0,1.0,0.0
2358.6134989511065,50,20,0,0.0,5.0,0.0
544.9793226210747,50,10,10,0.0,1.0,1.5
2277.0553365407736,50,0,10,0.0,5.0,0.0
1673.309933268073,65,10,10,5.0,1.0,0.0
382.7680809387594,65,0,10,0.0,1.0,1.5
2310.9513212675124,40,0,0,0.0,5.0,0.0
301.44912044293517,50,10,10,1.0,0.0,0.0
1673.309933268073,65,10,10,5.0,1.0,0.5
-0.0003729032453492,65,20,10,0.0,0.0,0.5
522.8870584554596,50,0,10,0.0,1.0,0.0
2151.870912989194,65,0,20,1.0,5.0,0.5
94.8691837598158,40,20,10,1.0,0.0,1.5
2980.81644522582,40,10,20,5.0,5.0,0.5
906.5246080581624,40,10,0,1.0,1.0,0.0
501.60578746408936,50,20,10,5.0,0.0,1.5
0.077764487176779,50,0,10,0.0,0.0,0.5
2680.906642120314,40,0,20,1.0,5.0,0.0
0.0111399113276178,65,0,0,0.0,0.0,0.5
1721.4694575432454,65,0,20,5.0,1.0,0.5
678.9019037112876,40,10,20,1.0,1.0,0.5
-0.0003729032453492,65,20,0,0.0,0.0,1.5
1344.941767366469,65,10,0,5.0,0.0,0.0
841.9719715488977,50,10,20,5.0,0.0,0.5
195.7979248351208,40,10,20,1.0,0.0,0.5
2288.016658439936,50,0,0,0.0,5.0,1.5
1289.142260141832,65,0,20,5.0,0.0,0.5
757.3948298767682,50,20,0,1.0,1.0,0.0
383.51215041570583,65,0,0,0.0,1.0,0.5
334.70702924631337,40,0,20,1.0,0.0,0.5
1243.7707351199526,40,10,10,5.0,0.0,0.0
2284.437015498088,40,0,20,0.0,5.0,0.0
-0.0003729032453492,65,10,20,0.0,0.0,1.5
522.9533097856855,50,0,10,0.0,1.0,0.5
539.3434517330213,40,10,0,0.0,1.0,0.0
2232.191018402852,40,20,0,0.0,5.0,1.5
883.9090422380622,50,0,10,1.0,1.0,0.0
2132.662113445469,50,0,10,5.0,1.0,0.0
509.6189755472338,40,20,0,0.0,1.0,1.5
1245.2910022860065,65,20,10,0.0,5.0,0.5
95.46094619493388,65,5,5,0.15,0.13,0.0
288.35514208392857,65,0,20,1.0,0.0,0.5
554.3836150938457,50,10,0,0.0,1.0,1.5
2138.861538290795,50,20,10,5.0,5.0,1.5
2277.1202486134366,50,0,10,0.0,5.0,0.5
2480.341406419562,40,0,0,5.0,1.0,0.0
792.0883908076803,40,10,20,5.0,0.0,0.5
1827.5767909764909,65,0,0,0.0,5.0,0.5
1532.5108890539475,50,20,0,5.0,1.0,0.0
525.5594500259967,50,0,0,0.0,1.0,1.5
1785.9159484981203,65,20,0,0.0,5.0,1.5
501.0737292209686,50,20,10,1.0,1.0,1.5
800.4043431524132,40,20,10,5.0,1.0,1.5
