NPV,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect
122.93214331097788,50,0,10,5.0,5.0,1.5
80.17042833916013,50,0,10,5.0,5.0,1.5
55.30975291614179,50,0,10,5.0,5.0,1.5
39.998168205108335,50,0,10,5.0,5.0,1.5
50.93240454408406,40,10,20,0.0,0.0,1.5
22.097545060102153,40,10,20,0.0,0.0,1.5
9.763341218508742,40,10,20,0.0,0.0,1.5
4.3765316754877315,40,10,20,0.0,0.0,1.5
1.975028075347886,40,10,20,0.0,0.0,1.5
0.8832873907352214,40,10,20,0.0,0.0,1.5
187.52966588579204,40,20,0,5.0,1.0,0.5
96.37234576267976,40,20,0,5.0,1.0,0.5
51.78659978882546,40,20,0,5.0,1.0,0.5
29.014096413254833,40,20,0,5.0,1.0,0.5
16.869534935922783,40,20,0,5.0,1.0,0.5
10.119199279742014,40,20,0,5.0,1.0,0.5
